sender,distinct_eoas,arbs_with_tx,median_arbs_per_eoa,top_eoa_share,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public,wallet_rotation,operator
0xad0e2f147a22c391b4d24fe81960a5ce6f8bc40d,10,75,6.5,0.22666666666666666,0.5066666666666667,102,4,0.7352941176470589,False,False,c:0xad0e2f147a22c391b4d24fe81960a5ce6f8bc40d
0xe56e6802022c530e50af72cd4bbff013434cd58a,6,97,13.5,0.31958762886597936,0.6494845360824743,98,4,0.9897959183673469,False,False,c:0xe56e6802022c530e50af72cd4bbff013434cd58a
0xda4f2e8041aa91a93b1d46cf224bbd4e9134a9ec,45,66,1.0,0.10606060606060606,0.25757575757575757,93,4,0.0,True,False,public
0x6ce015db8bc670b3a861a9176583d7c9f44d908d,82,89,1.0,0.033707865168539325,0.07865168539325842,89,1,1.0,True,False,public
0x58d3d500213362e2eaa22da20e6f1dc4c88abf49,13,57,4.0,0.19298245614035087,0.45614035087719296,89,4,0.6404494382022472,False,False,c:0x58d3d500213362e2eaa22da20e6f1dc4c88abf49
0xe6d85ce1f7dce8654c5bd0eb4d74cdc3c2937ea6,3,82,27.0,0.3780487804878049,1.0,82,2,1.0,False,False,c:0xe6d85ce1f7dce8654c5bd0eb4d74cdc3c2937ea6
0x0f8eab2b0f8272d488698a68f56da3038360d0a1,10,73,7.5,0.2054794520547945,0.4383561643835616,81,4,0.9012345679012346,False,False,c:0x0f8eab2b0f8272d488698a68f56da3038360d0a1
0x766eb8439f6bda4b120897b37adfcc1859d1c35c,20,61,3.0,0.09836065573770492,0.26229508196721313,79,3,0.0,False,False,c:0x766eb8439f6bda4b120897b37adfcc1859d1c35c
0xb0e60199c47bddba67766a1905812c5c069e96d0,2,79,39.5,0.620253164556962,1.0,79,1,1.0,False,False,c:0xb0e60199c47bddba67766a1905812c5c069e96d0
0x1a0a18ac4becddbd6389559687d1a73d8927e416,46,76,1.0,0.05263157894736842,0.13157894736842105,78,4,0.10256410256410256,True,False,public
0x188f36db7a4720ce657b94a53f62c6756dd73aff,17,51,1.0,0.19607843137254902,0.49019607843137253,76,4,0.6710526315789473,False,False,c:0x188f36db7a4720ce657b94a53f62c6756dd73aff
0x2ea94a042461940fb59cc7260bb85342891fb5eb,20,62,3.0,0.12903225806451613,0.3225806451612903,72,3,0.8611111111111112,False,False,c:0x2ea94a042461940fb59cc7260bb85342891fb5eb
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,4,27,1.0,0.8888888888888888,0.9629629629629629,71,4,0.0,False,False,c:0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f
0x4ab6a879beaedd6a4dfa4fb0e4ac72b061e1862f,40,59,1.0,0.05084745762711865,0.15254237288135594,68,4,0.0,True,False,public
0x81c37b26797145a4ab56f62c4714d3301d4894e6,22,52,3.0,0.07692307692307693,0.21153846153846154,65,4,0.0,False,False,c:0x81c37b26797145a4ab56f62c4714d3301d4894e6
0xe2df96f550010a4e5e748f03d2facff2d82e41ed,1,46,46.0,1.0,1.0,64,2,0.71875,False,False,c:0xe2df96f550010a4e5e748f03d2facff2d82e41ed
0x3a8ab96f2047bcffe1fa9c0f37a28882fe2c6e24,1,64,64.0,1.0,1.0,64,1,1.0,False,False,c:0x3a8ab96f2047bcffe1fa9c0f37a28882fe2c6e24
0x77519fa2324078e75b43c1bf2f8681069100c6c0,19,60,3.0,0.18333333333333332,0.31666666666666665,61,2,0.9836065573770492,False,False,c:0x77519fa2324078e75b43c1bf2f8681069100c6c0
0x904275e82073122814d7d0f1080b14192ba06c67,25,50,2.0,0.1,0.26,61,3,0.819672131147541,False,False,c:0x904275e82073122814d7d0f1080b14192ba06c67
0xe89aab725a2b2c0656248dcccc894a04661be55a,43,51,1.0,0.0784313725490196,0.19607843137254902,60,4,0.0,True,False,public
0x83d7aed184c2f75c16b9f8eb857f0736803db3ff,2,58,29.0,0.5689655172413793,1.0,58,2,1.0,False,False,c:0x83d7aed184c2f75c16b9f8eb857f0736803db3ff
