fork,window,spec,outcome,lag0,_b_lag0,_se_lag0,lag250,_b_lag250,_se_lag250,Δ (lag250 − lag0),share of prediction lag0 / lag250,elasticity lag0 / lag250
Fermi,±7 d,σ+L+vol+trend,arb profit,+0.009 (0.081),0.008555548755275463,0.08148667457701701,-0.141 (0.096),-0.14090075062916263,0.09550110549082574,-0.149,,
Fermi,±7 d,σ+L+vol+trend,LP loss (total),+0.066* (0.036),0.0661521925413177,0.03648213714172252,+0.045 (0.037),0.0450350013052986,0.036966609510987056,-0.021,,
Fermi,±7 d,σ+L+vol+trend,loss per arb,-0.050 (0.086),-0.04986240693842902,0.08617540756927927,-0.069 (0.086),-0.06885803076916032,0.0855719516098278,-0.019,,
Fermi,±7 d,σ+L+vol+trend,arbs/h,+0.057 (0.069),0.057272933613888896,0.06923626828188076,+0.004 (0.076),0.004287913037658239,0.07623906042993381,-0.053,,
Maxwell,±30 d,σ,overshoot (strict),-0.099*** (0.020),-0.09874244979771014,0.020275523108821508,-0.108*** (0.020),-0.1075256483898339,0.019816562050211015,-0.009,28% / 31%,0.14 / 0.16
Maxwell,±30 d,σ,overshoot (all),-0.117*** (0.020),-0.11730462317635688,0.020221309126639136,-0.148*** (0.021),-0.14815176414793413,0.021260781399065475,-0.031,,
Maxwell,±30 d,σ,arb profit,-0.313*** (0.062),-0.31339879959143874,0.06212537313187355,-0.372*** (0.066),-0.3718517757707286,0.0658705678315734,-0.058,,
Maxwell,±30 d,σ,LP loss (total),-0.073** (0.033),-0.07304662068597681,0.0333840981268169,-0.079** (0.034),-0.07908358767086765,0.03350422522971747,-0.006,,
Maxwell,±30 d,σ,loss per arb,-0.006 (0.027),-0.006052338102109145,0.026777703717652725,-0.008 (0.027),-0.007795761789250719,0.02681091092250497,-0.002,,
Maxwell,±30 d,σ,arbs/h,-0.083** (0.032),-0.08290446582223199,0.03245034038259222,-0.098*** (0.033),-0.09783660990878307,0.03331758061689047,-0.015,,
Maxwell,±30 d,σ+L+vol,overshoot (strict),-0.132*** (0.018),-0.13158068056826897,0.01810018304828444,-0.142*** (0.017),-0.14170972225900924,0.01742479519224104,-0.010,38% / 41%,0.19 / 0.20
Maxwell,±30 d,σ+L+vol,overshoot (all),-0.133*** (0.022),-0.13332280482000927,0.022298238374767035,-0.166*** (0.023),-0.16550317035019654,0.023376070138631345,-0.032,,
Maxwell,±30 d,σ+L+vol,arb profit,-0.217*** (0.049),-0.21662177063798457,0.049242281672069864,-0.276*** (0.053),-0.2762556582822517,0.05313446580045236,-0.060,,
Maxwell,±30 d,σ+L+vol,LP loss (total),+0.028*** (0.010),0.027945611108241848,0.009813953218900884,+0.022** (0.010),0.02155498330031758,0.009945563194168287,-0.006,,
Maxwell,±30 d,σ+L+vol,loss per arb,+0.045** (0.023),0.0453736121676285,0.02270636719700304,+0.044* (0.023),0.04383408657359732,0.022774222193180396,-0.002,,
Maxwell,±30 d,σ+L+vol,arbs/h,-0.043* (0.024),-0.04252196443574302,0.02447052793594427,-0.058** (0.025),-0.058432011409382256,0.025459350513792674,-0.016,,
Maxwell,±30 d,σ+L+vol+trend,overshoot (strict),-0.110*** (0.041),-0.10965160966665806,0.041465170001962114,-0.130*** (0.040),-0.13027069385628043,0.03966935126244609,-0.021,32% / 38%,0.16 / 0.19
Maxwell,±30 d,σ+L+vol+trend,overshoot (all),-0.009 (0.049),-0.009044379063873304,0.048776597964268545,-0.031 (0.050),-0.030915081066855976,0.05000983295681188,-0.022,,
Maxwell,±30 d,σ+L+vol+trend,arb profit,+0.138 (0.100),0.13771061459551245,0.09998123251399607,+0.103 (0.108),0.1031971378176857,0.10829583236703706,-0.035,,
Maxwell,±30 d,σ+L+vol+trend,LP loss (total),+0.001 (0.022),0.0008707166702640683,0.022436717660854713,-0.002 (0.023),-0.0016974010664945313,0.023499559662484213,-0.003,,
Maxwell,±30 d,σ+L+vol+trend,loss per arb,-0.085 (0.053),-0.08486785606915942,0.05325765381158141,-0.087* (0.053),-0.08735486134637602,0.05285142870155871,-0.002,,
Maxwell,±30 d,σ+L+vol+trend,arbs/h,+0.176*** (0.045),0.17618942567871254,0.045254715447317316,+0.174*** (0.045),0.17359203551021973,0.04509067279204525,-0.003,,
Maxwell,±30 d,RD,overshoot (strict),-0.110*** (0.041),-0.10957291969897442,0.04134333074853674,-0.130*** (0.039),-0.12996412052288833,0.03930123189274186,-0.020,32% / 37%,0.16 / 0.19
Maxwell,±30 d,RD,overshoot (all),-0.003 (0.043),-0.0027197929272655998,0.04285565235657313,-0.025 (0.045),-0.02472247367926967,0.04470229114414092,-0.022,,
Maxwell,±30 d,RD,arb profit,+0.153* (0.082),0.1531345082169057,0.08207051228658775,+0.119 (0.091),0.11943746089798093,0.09132155903732134,-0.034,,
Maxwell,±30 d,RD,LP loss (total),+0.001 (0.023),0.0007066245522063211,0.022532339605716212,-0.002 (0.024),-0.0018959343279212682,0.023562019562718518,-0.003,,
Maxwell,±30 d,RD,loss per arb,-0.083 (0.052),-0.0831951597003794,0.05199278614964953,-0.086* (0.052),-0.08575278042560491,0.05167424876247931,-0.003,,
Maxwell,±30 d,RD,arbs/h,+0.177*** (0.045),0.17665861311533532,0.04492495834892406,+0.174*** (0.045),0.17427933310622695,0.04475713529113294,-0.002,,
Maxwell,±14 d,σ,overshoot (strict),-0.128*** (0.032),-0.12812366628056573,0.03176540100568725,-0.145*** (0.032),-0.14491354617742172,0.03161409636701854,-0.017,37% / 42%,0.18 / 0.21
Maxwell,±14 d,σ,overshoot (all),-0.058* (0.033),-0.05769001598133164,0.03254026851682606,-0.083** (0.034),-0.08276424360464489,0.03397660187462301,-0.025,,
Maxwell,±14 d,σ,arb profit,+0.083 (0.071),0.08335585906020491,0.07054972517155925,+0.044 (0.078),0.04409911987126696,0.07793404390579096,-0.039,,
Maxwell,±14 d,σ,LP loss (total),+0.066 (0.053),0.0656775530763318,0.05344240193798081,+0.062 (0.053),0.061696311789698116,0.05346476693776523,-0.004,,
Maxwell,±14 d,σ,loss per arb,+0.042 (0.050),0.042029426686633134,0.05045890952480941,+0.040 (0.050),0.04000637412068577,0.05005969571851421,-0.002,,
Maxwell,±14 d,σ,arbs/h,+0.080** (0.036),0.07961042860674382,0.03609471149904444,+0.071** (0.036),0.0711309396989947,0.03620604853422265,-0.008,,
Maxwell,±14 d,σ+L+vol,overshoot (strict),-0.111*** (0.028),-0.11078335457690926,0.0280765841350129,-0.126*** (0.028),-0.12633675062492306,0.02776831672251626,-0.016,32% / 36%,0.16 / 0.18
Maxwell,±14 d,σ+L+vol,overshoot (all),-0.045 (0.033),-0.04496687446155388,0.032835832645165944,-0.069** (0.034),-0.06934951417808892,0.03408788528681828,-0.024,,
Maxwell,±14 d,σ+L+vol,arb profit,+0.045 (0.062),0.0451876243342291,0.061714655532170114,+0.005 (0.070),0.005397141668089699,0.06960144955636559,-0.040,,
Maxwell,±14 d,σ+L+vol,LP loss (total),+0.012 (0.018),0.012386502077448429,0.018147833798549,+0.008 (0.018),0.008398568914517587,0.018473221672733454,-0.004,,
Maxwell,±14 d,σ+L+vol,loss per arb,+0.006 (0.043),0.005884325662363541,0.04338775314593063,+0.004 (0.043),0.0036196270974340767,0.043179462343559,-0.002,,
Maxwell,±14 d,σ+L+vol,arbs/h,+0.075** (0.034),0.07458521595190276,0.033581706507508656,+0.066** (0.033),0.0663907579884746,0.03346872840446821,-0.008,,
Maxwell,±14 d,σ+L+vol+trend,overshoot (strict),-0.205*** (0.058),-0.20529192508160915,0.05774655465834793,-0.245*** (0.050),-0.2449331589562037,0.04986625740646834,-0.040,59% / 71%,0.30 / 0.35
Maxwell,±14 d,σ+L+vol+trend,overshoot (all),-0.127** (0.063),-0.12659867862685226,0.06304225389103353,-0.152** (0.064),-0.1524920818655006,0.06416664165308855,-0.026,,
