窗口,控制,被解释变量,kline,_b_kline,_se_kline,_n_kline,tick,_b_tick,_se_tick,_n_tick,差（tick−kline）,Δt 弹性 kline,Δt 弹性 tick,_preslope_kline,_preslope_se_kline,_preslope_tick,_preslope_se_tick
±14 d,σ,log 套利者利润,+0.062 (0.048),0.062070574097023046,0.04798472460795829,2014,+0.172*** (0.047),0.17185167391386336,0.04700419427465518,2013,+0.110,-0.09,-0.25,,,,
±14 d,σ,log 单笔 LP 损失,-0.186*** (0.042),-0.18613179906129143,0.04216578324981672,2015,-0.174*** (0.042),-0.17434802730427673,0.042062594729185956,2015,+0.012,,,,,,
±14 d,σ,log LP 损失（总）,+0.197*** (0.033),0.19735330961384562,0.03300692642656605,2016,+0.218*** (0.033),0.2178172053280948,0.03345212017385033,2016,+0.020,,,,,,
±14 d,σ,log 套利笔数,+0.405*** (0.054),0.4046805389727511,0.05407791946056404,2015,+0.423*** (0.054),0.4225712451464476,0.05421294307762733,2015,+0.018,,,,,,
±14 d,σ+L+vol,log 越界幅度（严格）,-0.391*** (0.040),-0.390943329588371,0.0398694026393309,2015,-0.357*** (0.036),-0.35675475135721707,0.03635108641172834,2015,+0.034,0.56,0.51,,,,
±14 d,σ+L+vol,log 越界幅度（全部）,-0.255*** (0.034),-0.25485644491958775,0.03406737623227097,2015,-0.201*** (0.032),-0.20051384518227464,0.03225035108624771,2015,+0.054,0.37,0.29,,,,
±14 d,σ+L+vol,log 套利者利润,-0.391*** (0.059),-0.39108524950437556,0.058828338265332465,2014,-0.278*** (0.057),-0.27815387048195883,0.057360675383119814,2013,+0.113,0.56,0.40,,,,
±14 d,σ+L+vol,log 单笔 LP 损失,-0.300*** (0.043),-0.3000100301374729,0.04347567446558296,2015,-0.288*** (0.043),-0.28794997214788287,0.04326448337028745,2015,+0.012,,,,,,
±14 d,σ+L+vol,log LP 损失（总）,-0.058*** (0.021),-0.058165238769002287,0.021410041369734137,2016,-0.038* (0.021),-0.038453517683753824,0.02146254879252504,2016,+0.020,,,,,,
±14 d,σ+L+vol,log 套利笔数,+0.111*** (0.028),0.11123290546961986,0.028364669160298638,2015,+0.130*** (0.029),0.13040912537654878,0.02855295392780294,2015,+0.019,,,,,,
±14 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.205*** (0.057),-0.2050557193921828,0.05713187560644981,2015,-0.185*** (0.047),-0.18535743333619722,0.04671988701053652,2015,+0.020,0.30,0.27,,,,
±14 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.030 (0.039),-0.030356291371724985,0.03929403190020196,2015,+0.006 (0.037),0.006179332075193646,0.0369524602926405,2015,+0.037,0.04,-0.01,,,,
±14 d,σ+L+vol+趋势,log 套利者利润,-0.261*** (0.094),-0.2608528185155804,0.09388551599567821,2014,-0.173** (0.085),-0.17283270808515122,0.08476600549609825,2013,+0.088,0.38,0.25,,,,
±14 d,σ+L+vol+趋势,log 单笔 LP 损失,-0.025 (0.061),-0.025359520900019764,0.06084288301881534,2015,-0.015 (0.059),-0.01461537971801101,0.05936662877957044,2015,+0.011,,,,,,
±14 d,σ+L+vol+趋势,log LP 损失（总）,-0.110*** (0.023),-0.10988719240402746,0.023080503886509837,2016,-0.093*** (0.023),-0.09251865351533498,0.0228455283134694,2016,+0.017,,,,,,
±14 d,σ+L+vol+趋势,log 套利笔数,-0.114*** (0.034),-0.11447377304914484,0.03421804097414119,2015,-0.098*** (0.034),-0.09776830172037931,0.033802612455640944,2015,+0.017,,,,,,
±14 d,RD,log 越界幅度（严格）,-0.204*** (0.053),-0.20439782975642598,0.05331854416922223,2015,-0.185*** (0.044),-0.18485652027118263,0.044080882413436835,2015,+0.020,0.29,0.27,-0.010877786865623521,0.003120964558386483,-0.010488335727736291,0.0029385294581764166
±14 d,RD,log 越界幅度（全部）,-0.029 (0.035),-0.028799781805280835,0.034972244783417906,2015,+0.007 (0.035),0.007438344600288429,0.03471772985296783,2015,+0.036,0.04,-0.01,-0.009516743048428927,0.0031732633609705078,-0.00947882737321183,0.0032539707973835504
±14 d,RD,log 套利者利润,-0.257*** (0.080),-0.257257060086249,0.08046959488836769,2014,-0.169** (0.075),-0.1693948761833181,0.07547632961590356,2013,+0.088,0.37,0.24,0.005569948363128903,0.005996888745769736,0.00610928285741042,0.006023971819691198
±14 d,RD,log 单笔 LP 损失,-0.025 (0.060),-0.025181547483766685,0.060456790068181165,2015,-0.014 (0.059),-0.01444663986543447,0.059008801339252265,2015,+0.011,,,-0.019845129322211393,0.0027432375783783803,-0.019775271520897572,0.002730084830154281
±14 d,RD,log LP 损失（总）,-0.110*** (0.023),-0.11038296977688229,0.02271239461672655,2016,-0.093*** (0.022),-0.09304044199232982,0.022115143685674014,2016,+0.017,,,0.0015528615809064378,0.0016619038105311935,0.0015613998786184959,0.001653806938012198
±14 d,RD,log 套利笔数,-0.114*** (0.036),-0.11409972654770471,0.03602120173380477,2015,-0.097*** (0.036),-0.09743437318873693,0.03561221630496237,2015,+0.017,,,0.018780946680789053,0.0026578919903670222,0.01880580783194959,0.0026596916782310603
±7 d,σ,log 越界幅度（严格）,-0.345*** (0.049),-0.34537225967806634,0.04860974078029444,1007,-0.319*** (0.041),-0.31851506642691224,0.041300931090261665,1007,+0.027,0.50,0.46,,,,
